연번,회사명,청끌기업분야,업종(대분류),기업규모,평균초임(천원),평균연봉(천원),'25.매출액(백만원),직원수(계),직원수(정규직),직원수(비정규직),워라밸(10점 만점),워라밸 선택항목,직무교육(6점 만점),직무교육 선택항목,복리후생(12점 만점),복리후생 선택항목,소재지,주요제품/서비스,비고(주요 인증제도 등)
29,(주)크로시스,워라밸,제조업,중소기업,"2,500","56,640","20,229",33,32,1,4,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상)",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",5,"①4대보험 가입, ②퇴직연금, ④야근/휴일수당, ⑤장기근속자 포상, ⑩의료비 지원",사하구,액체 여과기 제조업,
30,(주)티허브,미래,제조업,중소기업,"2,500","50,000","3,100",38,35,3,3,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상)",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",7,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑦자녀 학자금 지원, ⑫통신비 지원",동래구,IoT 모니터링 플랫폼,
31,(주)펠릭스테크,급여,제조업,중소기업,"3,210","75,000","176,036",102,102,0,4,"④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",4,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ⑤사내동호회 운영",9,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑦자녀 학자금 지원, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑫통신비 지원",강서구,단조품,"고용우수, 벤처기업, 뿌리기업"
32,(주)하트만,워라밸,제조업,중소기업,"2,667","45,000","10,897",67,61,6,6,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",4,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ⑤사내동호회 운영",9,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑥주택자금 대출, ⑦자녀 학자금 지원, ⑧차량 유지비 지원, ⑪체력단련비 지급",강서구,내연기관 제조,
33,(주)한미유압기계,복지,제조업,중소기업,"2,750","64,400","38,940",87,79,8,5,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",4,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",11,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑥주택자금 대출, ⑦자녀 학자금 지원, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원, ⑪체력단련비 지급",사상구,선박엔진용 유압기계,"가족친화, 청년친화, 선도기업"
34,(주)해양드론기술,미래,제조업,중소기업,"2,330","51,510","5,387",61,61,0,6,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",3,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ⑤사내동호회 운영",7,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑦자녀 학자금 지원, ⑧차량 유지비 지원",영도구,다목적 드론 서비스 운용플랫폼,
35,(주)화신볼트산업,미래,제조업,중소기업,"3,160","63,000","42,485",150,150,0,5,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",11,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑥주택자금 대출, ⑦자녀 학자금 지원, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑪체력단련비 지급, ⑫통신비 지원",사하구,"볼트,너트 및 나사 제품","강소기업, 선도기업"
36,(주)화인,워라밸,제조업,중소기업,"3,000","61,550","38,369",86,83,3,4,"④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",1,⑥운영하고 있는 교육·훈련 프로그램이 없음,7,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑥주택자금 대출, ⑨휴양/레저 지원",강서구,"자동화기계설비, 환경설비","가족친화, 이노비즈"
37,금오기전(주),미래,제조업,중소기업,"2,583","54,000","32,321",103,99,4,5,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상)",3,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ④자기계발비 지원(도서구입비, 교육비 지원 등)",6,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑨휴양/레저 지원",기장군,내연기관전장품 외,"청년친화, 이노비즈"
38,나라오토시스(주),미래,제조업,중소기업,"2,920","45,000","19,146",94,79,15,5,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",8,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑥주택자금 대출, ⑦자녀 학자금 지원, ⑨휴양/레저 지원",강서구,"커플링,기어,감속기",선도기업
39,내쇼날시스템(주),워라밸,제조업,중소기업,"3,210","75,000","6,000",20,20,0,7,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",8,"①4대보험 가입, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원, ⑫통신비 지원",강서구,용접기 및 산업기계제조업,"이노비즈, 선도기업, 가족친화"
40,대우제약(주),급여,제조업,중소기업,"2,833","41,500","115,077",382,376,6,5,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",4,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등)",8,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑧차량 유지비 지원, ⑩의료비 지원, ⑫통신비 지원",사하구,점안제/안과 전문의약품 외,"이노비즈, 선도기업"
41,동서산업(주),워라밸,제조업,중소기업,"2,900","55,000","10,432",72,72,0,6,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도, ⑧임신기 근로시간 단축 제도",4,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",9,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원, ⑫통신비 지원",기장군,"메카니칼씰, 패킹 외","청년친화, 우수기업, 가족친화"
42,동아플레이팅(주),미래,제조업,중소기업,"2,500","34,000","5,800",36,35,1,6,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑦가족돌봄 휴직 및 휴가제도, ⑨직장 어린이집 설치",4,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등)",5,"①4대보험 가입, ②퇴직연금, ④야근/휴일수당, ⑤장기근속자 포상, ⑨휴양/레저 지원",강서구,표면처리/자동차부품 제조업,이노비즈
43,동진모타공업(주),워라밸,제조업,중소기업,"2,910","55,000","48,520",44,44,0,4,"④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",3,"①직장 내 교육훈련(OJT), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등)",5,"①4대보험 가입, ②퇴직연금, ④야근/휴일수당, ⑤장기근속자 포상, ⑦자녀 학자금 지원",연제구,자동차부품,메인비즈
44,모전,미래,제조업,중소기업,"3,560","63,000","15,019",41,41,0,3,"④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상)",1,⑥운영하고 있는 교육·훈련 프로그램이 없음,7,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑫통신비 지원",강서구,방산부품제조,청년친화
45,부경테크,복지,제조업,중소기업,"2,720","32,600","6,202",17,15,2,7,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도, ⑨직장 어린이집 설치",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",10,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원, ⑪체력단련비 지급, ⑫통신비 지원",기장군,전열보드,청년친화
46,부곡스텐레스(주),미래,제조업,중소기업,"2,500","54,060","16,214",32,29,3,6,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",8,"①4대보험 가입, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑦자녀 학자금 지원, ⑧차량 유지비 지원, ⑩의료비 지원, ⑪체력단련비 지급",강서구,"스테인리스 파이프, 튜브 외","고용우수, 청년친화, 가족친화"
47,삼덕통상(주),미래,제조업,중소기업,"2,920","46,730","136,282",129,101,28,5,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상)",3,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ⑤사내동호회 운영",7,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑨휴양/레저 지원, ⑩의료비 지원",강서구,기타 신발 제조업,"가족친화, 선도기업, 지역강소"
48,삼영엠티(주),급여,제조업,중소기업,"3,250","55,000","102,551",550,550,0,4,"④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",2,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등)",6,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑦자녀 학자금 지원",강서구,자동차 알루미늄 다이캐스팅 부품,"이노비즈, 선도기업"
49,삼우엠씨피(주),미래,제조업,중소기업,"2,660","62,000","37,451",63,58,5,4,"④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",3,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵",6,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑦자녀 학자금 지원",강서구,조선선박구성부분품,이노비즈
50,삼진식품(주),워라밸,제조업,중소기업,"2,660","55,730","109,498",266,245,21,6,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",3,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ⑤사내동호회 운영",6,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑩의료비 지원",영도구,어묵 및 유사제품,가족친화
51,삼호정밀,복지,제조업,중소기업,"2,900","53,128","11,566",37,37,0,5,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",6,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑧차량 유지비 지원",강서구,기계부품 외,"메인비즈, 이노비즈"
52,세진밸브공업(주),미래,제조업,중소기업,"2,667","62,000","38,290",93,93,0,7,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",2,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등)",8,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑧차량 유지비 지원, ⑩의료비 지원, ⑫통신비 지원",강서구,버터플라이 밸브,"이노비즈, 선도기업"
53,아쿠아셀(주),복지,제조업,중소기업,"2,410","40,000","8,000",27,22,5,7,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",2,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등)",5,"①4대보험 가입, ②퇴직연금, ④야근/휴일수당, ⑤장기근속자 포상, ⑧차량 유지비 지원",강서구,"탈취기, 습식집진기 외","가족친화, 선도기업"
54,엠티코리아(주),급여,제조업,중소기업,"2,833","45,000","15,830",34,34,0,3,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상)",4,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ⑤사내동호회 운영",6,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑧차량 유지비 지원",강서구,"Q.A.V, A.H.C","고용우수, 이노비즈"
55,영도산업(주),급여,제조업,중소기업,"3,500","60,000","48,054",209,191,18,4,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상)",3,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ⑤사내동호회 운영",5,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상",강서구,벨브,
56,욱성화학(주),복지,제조업,중소기업,"3,100","137,000","77,314",173,173,0,4,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",3,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ④자기계발비 지원(도서구입비, 교육비 지원 등)",9,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑥주택자금 대출, ⑦자녀 학자금 지원, ⑧차량 유지비 지원, ⑫통신비 지원",금정구,기초화합물제조업,"선도기업, 이노비즈"
57,원광밸브(주),워라밸,제조업,중소기업,"2,660","45,000","47,217",161,161,0,4,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상)",2,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등)",5,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상",강서구,밸브 및 배관자재,선도기업
58,(주)원풍산업,미래,제조업,중소기업,"2,750","63,000","37,240",53,53,0,4,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상)",3,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ④자기계발비 지원(도서구입비, 교육비 지원 등)",8,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원",기장군,자동차,
59,위니코니(주),미래,제조업,중소기업,"2,540","50,000","11,211",35,35,0,4,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상)",4,"①직장 내 교육훈련(OJT), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",6,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑧차량 유지비 지원",기장군,기타 오락용품(물놀이용튜브),"메인비즈, 이노비즈"
