연번,회사명,청끌기업분야,업종(대분류),기업규모,평균초임(천원),평균연봉(천원),'25.매출액(백만원),직원수(계),직원수(정규직),직원수(비정규직),워라밸(10점 만점),워라밸 선택항목,직무교육(6점 만점),직무교육 선택항목,복리후생(12점 만점),복리후생 선택항목,소재지,주요제품/서비스,비고(주요 인증제도 등)
89,망고클라우드(주),미래,정보통신업,중소기업,"2,667","41,200","1,800",22,22,0,5,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상)",1,"④자기계발비 지원(도서구입비, 교육비 지원 등)",6,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑧차량 유지비 지원, ⑩의료비 지원",남구,소프트웨어 개발 및 공급,
90,(주)모두싸인,미래,정보통신업,중소기업,"2,800","70,000","9,308",126,116,10,6,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",4,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등)",9,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑨휴양/레저 지원, ⑩의료비 지원, ⑪체력단련비 지급, ⑫통신비 지원",해운대구,"전자계약, 전자서명 서비스",가족친화
91,(주)무스마,미래,정보통신업,중소기업,"2,500","53,870","2,778",52,52,0,7,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",4,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",8,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑥주택자금 대출, ⑨휴양/레저 지원, ⑩의료비 지원",수영구,"단디캠, 스마트크레인 외 안전솔루션","고용우수, 강소기업"
92,(주)블루넥스,미래,정보통신업,중소기업,"2,750","38,000","6,695",18,18,0,6,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상)",3,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ④자기계발비 지원(도서구입비, 교육비 지원 등)",5,"①4대보험 가입, ②퇴직연금, ⑦자녀 학자금 지원, ⑧차량 유지비 지원, ⑫통신비 지원",중구,sw개발,"이노비즈, 가족친화"
93,앤시정보기술(주),미래,정보통신업,중소기업,"2,863","36,340","14,500",132,104,28,5,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",2,"②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ④자기계발비 지원(도서구입비, 교육비 지원 등)",4,"①4대보험 가입, ③인센티브제(성과급), ④야근/휴일수당, ⑧차량 유지비 지원",해운대구,통합전산유지보수,"선도기업, 이노비즈"
94,(주)이온엠솔루션,복지,정보통신업,중소기업,"2,750","55,000","6,608",49,49,0,4,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",2,"③해외연수/워크샵, ⑤사내동호회 운영",7,"①4대보험 가입, ②퇴직연금, ④야근/휴일수당, ⑤장기근속자 포상, ⑦자녀 학자금 지원, ⑨휴양/레저 지원, ⑫통신비 지원",북구,의료정보시스템/소프트웨어 개발,"이노비즈, 강소기업"
95,(주)일주지앤에스,미래,정보통신업,중소기업,"2,500","50,000","16,000",153,153,0,5,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",3,"①직장 내 교육훈련(OJT), ③해외연수/워크샵, ⑤사내동호회 운영",7,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원, ⑫통신비 지원",동래구,소프트웨어,"가족친화, 고용우수, 강소기업"
96,(주)투핸즈인터랙티브,워라밸,정보통신업,중소기업,"2,830","50,000","5,005",13,13,0,6,"②근로자 평균 연차 활용률(90% 이상), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",1,"②외부기관 위탁교육(연수기관 방문, 강습, 강연 등)",9,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑧차량 유지비 지원, ⑩의료비 지원, ⑪체력단련비 지급, ⑫통신비 지원",해운대구,디딤/멀티미디어 교육용 소프트웨어,선도기업
97,디자인글꼴,미래,과학 및 기술서비스업,중소기업,"3,060","47,910","2,590",28,26,2,5,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑦가족돌봄 휴직 및 휴가제도",3,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵",4,"①4대보험 가입, ②퇴직연금, ④야근/휴일수당, ⑤장기근속자 포상",부산진구,"출판,인쇄,디자인,문구,팬시",
98,(주)라스텍,워라밸,과학 및 기술서비스업,중소기업,"2,910","50,000","5,325",52,48,4,7,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",9,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원, ⑫통신비 지원",강서구,엔지니어링 서비스,"가족친화, 메인비즈, 고용우수"
99,주식회사아뮤즈,워라밸,과학 및 기술서비스업,중소기업,"2,500","39,140","2,853",51,51,0,6,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상)",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",8,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑫통신비 지원",부산진구,소프트웨어개발 및 디자인,가족친화
100,(주)엘투플랜,미래,과학 및 기술서비스업,중소기업,"2,390","45,740","2,600",20,17,3,6,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상)",3,"①직장 내 교육훈련(OJT), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등)",9,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑥주택자금 대출, ⑧차량 유지비 지원, ⑩의료비 지원, ⑪체력단련비 지급",남구,"광고대행, 전시.컨벤션 및 행사대행 등",
101,(주)웰비아이,워라밸,과학 및 기술서비스업,중소기업,"2,600","44,000","6,173",33,33,0,7,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",4,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등)",4,"①4대보험 가입, ④야근/휴일수당, ⑩의료비 지원, ⑪체력단련비 지급",해운대구,광고대행업,
102,(주)이커넥트,복지,과학 및 기술서비스업,중소기업,"2,500","39,900","48,000",50,50,0,2,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도",2,"④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",3,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급)",해운대구,사주나루 / 미므아(화장품),
103,(주)저스트컴퍼니,미래,과학 및 기술서비스업,중소기업,"2,400","45,360","9,661",22,22,0,5,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",3,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵",6,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑧차량 유지비 지원, ⑫통신비 지원",연제구,육가공 프랜차이즈,메인비즈
104,(주)아인텔레서비스,복지,사업시설관리 및 사업지원 서비스업,대기업,"3,000","45,260","81,442",644,635,9,5,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",10,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑦자녀 학자금 지원, ⑨휴양/레저 지원, ⑩의료비 지원, ⑪체력단련비 지급, ⑫통신비 지원",사상구,LG유플러스 모바일 고객센터,
105,S.O.K management,워라밸,사업시설관리 및 사업지원 서비스업,중소기업,"2,580","25,980","3,000",17,17,0,8,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도, ⑨직장 어린이집 설치",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",6,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑧차량 유지비 지원, ⑪체력단련비 지급",해운대구,축제·전시·기타 행사 기획 및 운영,
106,부산항인력관리(주),미래,사업시설관리 및 사업지원 서비스업,중소기업,"2,833","40,000","19,605",568,255,313,4,"④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",7,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑧차량 유지비 지원, ⑫통신비 지원",남구,부두장비 기사용역업,
107,(주)씨앤,워라밸,사업시설관리 및 사업지원 서비스업,중소기업,"2,500","43,490","2,366",26,26,0,5,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상)",3,"①직장 내 교육훈련(OJT), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등)",6,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ⑤장기근속자 포상, ⑧차량 유지비 지원, ⑪체력단련비 지급",중구,항공 발권 및 MICE,"가족친화, 우수기업"
108,(주)지엠네트웍스,복지,사업시설관리 및 사업지원 서비스업,중소기업,"2,300","29,800","10,109",256,22,234,4,"④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",5,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상",남구,여행보조서비스 및 의전 알선업,고용우수
109,(주)동륜물류,워라밸,운수 및 창고업,중소기업,"3,050","50,000","20,571",24,23,1,5,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상)",3,"①직장 내 교육훈련(OJT), ③해외연수/워크샵, ⑤사내동호회 운영",4,"①4대보험 가입, ②퇴직연금, ④야근/휴일수당, ⑤장기근속자 포상",중구,컨테이너 운송,선도기업
110,레오나해운항공(주),복지,운수 및 창고업,중소기업,"2,500","51,490","16,916",67,67,0,2,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ④여성 근로자 육아휴직제도",4,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등)",9,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑧차량 유지비 지원, ⑩의료비 지원, ⑪체력단련비 지급, ⑫통신비 지원",해운대구,화물운송 중개 등 관련 서비스업,"고용우수, 가족친화"
111,바른로지스틱스(주),복지,운수 및 창고업,중소기업,"2,660","55,730","8,695",46,45,1,4,"④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",2,"①직장 내 교육훈련(OJT), ④자기계발비 지원(도서구입비, 교육비 지원 등)",9,"①4대보험 가입, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원, ⑪체력단련비 지급, ⑫통신비 지원",서구,"국제물류주선업, 해운중개업 외",
112,(주)케이티마린,미래,운수 및 창고업,중소기업,"2,583","58,280","25,241",19,19,0,5,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도",3,"②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ⑥운영하고 있는 교육·훈련 프로그램이 없음",8,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ⑤장기근속자 포상, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원, ⑫통신비 지원",영도구,외항 화물 운송업,"고용우수, 메인비즈, 선도기업, 청년친화"
113,천지개발(주),급여,건설업,중소기업,"3,580","58,690","99,069",135,122,13,4,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상)",3,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ④자기계발비 지원(도서구입비, 교육비 지원 등)",5,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ⑤장기근속자 포상, ⑧차량 유지비 지원",금정구,토공사 외,여성친화
114,(주)힘콤,급여,건설업,중소기업,"2,880","88,600","35,143",78,78,0,6,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",11,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑥주택자금 대출, ⑦자녀 학자금 지원, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원, ⑫통신비 지원",북구,통신서비스,"고용우수, 강소기업"
115,(주)고려저축은행,미래,금융 및 보험업,대기업,"3,000","40,000","148,384",167,160,7,6,"②근로자 평균 연차 활용률(90% 이상), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",8,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ⑤장기근속자 포상, ⑥주택자금 대출, ⑦자녀 학자금 지원, ⑩의료비 지원, ⑫통신비 지원",동구,상호저축은행,가족친화
116,리더스손해사정주식회사,미래,금융 및 보험업,중소기업,"2,160","39,360","48,843",885,885,0,6,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도, ⑧임신기 근로시간 단축 제도",3,"①직장 내 교육훈련(OJT), ③해외연수/워크샵, ⑤사내동호회 운영",7,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑧차량 유지비 지원, ⑫통신비 지원",동구,손해사정,고용우수
117,(의)영재의료재단 큰솔병원,워라밸,보건업 및 사회복지 서비스업,중견기업,"2,910","68,670","45,290",570,501,69,5,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",2,"①직장 내 교육훈련(OJT), ④자기계발비 지원(도서구입비, 교육비 지원 등)",10,"①4대보험 가입, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑦자녀 학자금 지원, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원, ⑪체력단련비 지급, ⑫통신비 지원",사상구,"재활의학과,내과,종합검진센터",
118,이샘병원,복지,보건업 및 사회복지 서비스업,중소기업,"2,500","57,000","43,907",501,463,38,6,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",2,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등)",7,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑧차량 유지비 지원, ⑩의료비 지원",부산진구,보건업및사회복지서비스,고용우수
119,(주)엑스텍코리아,워라밸,교육서비스업,중소기업,"3,160","55,000","1,951",21,21,0,5,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",3,"③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",6,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑧차량 유지비 지원",해운대구,방폭 위탁 교육훈련업 외,
120,(주)아난티코브,미래,숙박 및 음식점업,중견기업,"2,500","38,000","82,564",442,430,12,5,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",6,"①4대보험 가입, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑨휴양/레저 지원, ⑫통신비 지원",기장군,호텔/리조트,고용우수
