id,name,region,industry,job_position,employment_type,skills_wanted,benefits,description,source_url,financial_health_rating,financial_health_detail,growth_potential,stability,salary_level,work_life_balance,keywords
"busanpay","부산페이(BusanPay)","부산 사상구","핀테크","백엔드 개발자|결제시스템 개발자|신입 개발자","정규직","Java|Spring|MySQL|API 설계|AWS","재택 근무 병행|자기계발비 지원|식대 지원|경조사 지원","부산페이는 지역 화폐·소상공인 결제 인프라를 만드는 핀테크 스타트업이다. 부산시와의 협력 사업으로 안정적인 매출 기반을 갖췄다. 신입 개발자를 위한 6개월 온보딩 프로그램을 운영한다.","","매우 안정","3년 연속 흑자, 지역 금융기관 투자 유치","5","4","4","4","핀테크|결제시스템|금융IT|백엔드|API|Java"
"centumdatalab","센텀데이터랩","부산 해운대구","IT·데이터","데이터 엔지니어|ML 엔지니어|신입 개발자","정규직","Python|SQL|Airflow|AWS|MLOps","자율 출퇴근|최신 장비 지원|컨퍼런스 참가비 지원","센텀데이터랩은 지역 금융사·유통사의 데이터 파이프라인을 구축하는 데이터 전문 기업이다. 금융권 프로젝트 비중이 높아 금융IT 경험을 쌓기 좋다. 해운대 센텀시티에 위치해 접근성이 좋다.","","성장 중","시리즈 A 투자 유치, 최근 2년 매출 2배 성장","5","3","4","3","데이터엔지니어링|MLOps|금융데이터|클라우드|Python"
"nakdongcommerce","낙동커머스","부산 사하구","커머스·플랫폼","프론트엔드 개발자|풀스택 개발자|신입 개발자","정규직","React|Node.js|PG 연동|TypeScript","자유복장|점심 식대 지원|리프레시 휴가","낙동커머스는 부산·경남 지역 소상공인 전용 이커머스 플랫폼을 운영한다. 자체 간편결제 PG 연동 모듈을 보유하고 있어 결제 도메인 경험을 쌓을 수 있다. 신입 개발자 비중이 높은 젊은 조직이다.","","안정","지역 이커머스 점유율 1위, 흑자 전환 완료","4","4","3","4","커머스|결제연동|PG|프론트엔드|React"
"busansmartcity","부산스마트시티랩","부산 연제구","공공IT·스마트시티","백엔드 개발자|GIS 엔지니어|신입 개발자","정규직","Java|Spring Boot|GIS|QGIS|PostgreSQL","정시 퇴근|공공기관 협업 경험|자격증 취득 지원","부산스마트시티랩은 부산시 스마트시티 통합 플랫폼을 개발·운영하는 공공IT 기업이다. Java/Spring 기반 백엔드 개발자를 지속적으로 채용한다. 워라밸이 뛰어난 편이다.","","매우 안정","부산시 위탁 사업 기반, 다년 계약 확보","3","5","3","5","스마트시티|GIS|공공데이터|백엔드|Java"
"busanportlogistics","부산항로지스틱스","부산 남구","물류·SCM","풀스택 개발자|물류시스템 개발자","정규직","Java|Vue|Oracle|SCM","통근버스 운영|명절 상여금|가족수당","부산항로지스틱스는 부산항 물동량 데이터를 기반으로 물류 최적화 시스템을 구축하는 기업이다. 안정적인 항만공사 협력 계약을 다수 보유하고 있다.","","안정","항만공사 협력사, 장기 계약 다수 보유","3","5","4","3","물류|SCM|항만|풀스택"
"dongnamprecision","동남정밀","부산 강서구","제조·스마트팩토리","임베디드 개발자|IoT 개발자","정규직","C++|IoT|임베디드리눅스","기숙사 지원|통근버스|명절 상여금","동남정밀은 자동차 부품 제조 공정에 스마트팩토리 솔루션을 도입한 제조 기업이다. 임베디드·IoT 개발자를 채용 중이다.","","안정","자동차 부품 수출 비중 높음, 20년 업력","3","4","3","2","스마트팩토리|IoT|임베디드|제조"
"haeundaegames","해운대게임즈","부산 해운대구","게임·콘텐츠","클라이언트 개발자|게임서버 개발자","정규직","Unity|C#|Node.js","자율 출퇴근|넥서스 게임 지원비|자유복장","해운대게임즈는 모바일 캐주얼 게임으로 흥행에 성공한 콘텐츠 기업이다. 클라이언트·서버 개발자를 채용 중이다.","","성장 중","모바일 게임 흥행으로 매출 급성장","4","2","3","3","게임|Unity|콘텐츠"
"busanbiolab","부산바이오랩","부산 기장군","바이오헬스","바이오인포매틱스 엔지니어|데이터 분석가","정규직","R|Python|통계분석","연구수당|학회 참가비 지원|건강검진 지원","부산바이오랩은 유전체 데이터를 분석하는 바이오헬스 스타트업이다. R&D 과제를 다수 수주해 성장 중이다.","","성장 중","정부 R&D 과제 다수 수주","4","3","3","3","바이오|헬스케어|데이터분석"
"sahafinpay","다대포페이먼츠","부산 사하구","핀테크","백엔드 개발자|결제시스템 개발자|신입 개발자","정규직","Kotlin|Spring Boot|Redis|MSA","재택 근무 병행|스톡옵션|자기계발비 지원","다대포페이먼츠는 소상공인 간편결제 인프라를 MSA 구조로 운영하는 핀테크 스타트업이다. 신입 개발자에게 결제 도메인 실무를 3개월 내 익힐 수 있는 온보딩을 제공한다.","","성장 중","벤처캐피탈 투자 유치, 가맹점 수 매년 2배 증가","5","3","4","3","핀테크|간편결제|MSA|백엔드|Kotlin"
"dongnaecloudworks","동래클라우드웍스","부산 동래구","클라우드·SaaS","백엔드 개발자|DevOps 엔지니어|신입 개발자","정규직","Go|Kubernetes|AWS|Terraform","자율 출퇴근|원격 근무 가능|장비 풀지원","동래클라우드웍스는 중견기업 대상 사내 협업 SaaS를 운영하는 클라우드 기업이다. Kubernetes 기반 인프라 자동화 경험을 쌓기 좋다.","","성장 중","국내 중견기업 대상 SaaS 공급, 매출 매년 증가","4","3","4","4","클라우드|SaaS|DevOps|백엔드"
"yeongdomarinetech","영도마린테크","부산 영도구","조선·해양IT","임베디드 개발자|백엔드 개발자","정규직","C++|Python|IoT","통근버스|명절 상여금|자격증 취득 지원","영도마린테크는 선박 운항 데이터를 수집·분석하는 해양IT 기업이다. 조선소와의 장기 협력 계약을 다수 보유하고 있다.","","안정","조선사 협력, 장기 계약 다수","3","4","3","3","조선|해양|IoT|임베디드"
"geumjeongedutech","금정에듀테크","부산 금정구","에듀테크","프론트엔드 개발자|백엔드 개발자|신입 개발자","정규직","React|Node.js|MySQL","자유복장|도서구입비 지원|정시 퇴근","금정에듀테크는 대학생 대상 온라인 강의·스터디 플랫폼을 운영하는 에듀테크 기업이다. 신입 개발자 채용 비중이 높다.","","성장 중","대학가 인근 온라인 강의 플랫폼, 회원수 급증","4","3","3","4","에듀테크|온라인강의|React"
"jungsecuritylab","중구시큐리티랩","부산 중구","정보보안","보안 엔지니어|백엔드 개발자|신입 개발자","정규직","Java|Spring|네트워크보안|침해대응","자격증 취득 지원|보안수당|재택 근무 병행","중구시큐리티랩은 금융권 대상 침해대응·보안관제 솔루션을 공급하는 보안 기업이다. Java/Spring 기반 백엔드 개발자를 채용 중이다.","","매우 안정","금융권 보안 솔루션 공급, 장기 계약 다수","3","5","4","3","보안|금융보안|Java|백엔드"
"seoguproptech","서구프롭테크","부산 서구","프롭테크","풀스택 개발자|데이터 분석가","정규직","Vue|Django|PostgreSQL","자율 출퇴근|명절 상여금","서구프롭테크는 부산 지역 부동산 시세·매물 데이터를 분석해 제공하는 프롭테크 스타트업이다.","","성장 중","부동산 데이터 플랫폼 운영, 최근 투자 유치","4","2","3","3","프롭테크|부동산데이터|풀스택"
"bukmobilitylab","북구모빌리티랩","부산 북구","모빌리티","백엔드 개발자|임베디드 개발자|신입 개발자","정규직","Java|Spring|C++|GPS","통근버스|식대 지원|자기계발비 지원","북구모빌리티랩은 공유 킥보드·자전거 서비스를 운영하는 모빌리티 기업이다. 부산시 협력사업에 다수 참여하고 있다.","","안정","공유 모빌리티 서비스 운영, 지자체 협력사업 다수","4","4","3","3","모빌리티|공유경제|백엔드|Java"
"suyeongadtech","수영애드테크","부산 수영구","애드테크","백엔드 개발자|데이터 엔지니어","정규직","Python|Kafka|AWS","자율 출퇴근|자유복장|컨퍼런스 참가비 지원","수영애드테크는 실시간 광고 입찰 데이터를 분석하는 애드테크 기업이다. 대용량 이벤트 스트림 처리 경험을 쌓기 좋다.","","성장 중","광고 데이터 분석 플랫폼, 매출 2년 연속 성장","4","3","4","3","애드테크|데이터|광고|Python"
"jinhrtech","부산진HR테크","부산 진구","HR테크","프론트엔드 개발자|백엔드 개발자|신입 개발자","정규직","React|Node.js|TypeScript","정시 퇴근|자유복장|명절 상여금","부산진HR테크는 중소기업 대상 채용관리 SaaS를 운영하는 HR테크 기업이다. 신입 개발자 비중이 높은 젊은 조직이다.","","안정","중소기업 채용관리 SaaS 운영, 구독 고객 꾸준히 증가","3","4","3","4","HR테크|SaaS|React"
"gijangenergytech","기장에너지테크","부산 기장군","에너지·신재생","데이터 엔지니어|백엔드 개발자","정규직","Python|InfluxDB|IoT","연구수당|건강검진 지원|통근버스","기장에너지테크는 태양광 발전소의 실시간 발전량 데이터를 수집·분석하는 신재생에너지 기업이다.","","성장 중","정부 R&D 과제 다수 수주, 태양광 발전 데이터 플랫폼 운영","4","3","3","3","에너지|신재생|IoT|데이터"
"sahalogispay","사하로지페이","부산 사하구","물류·핀테크","백엔드 개발자|결제시스템 개발자|신입 개발자","정규직","Java|Spring|정산|MySQL","재택 근무 병행|식대 지원|경조사 지원","사하로지페이는 물류사 간 운임 정산을 자동화하는 핀테크·물류 융합 기업이다. Java/Spring 기반 정산 엔진을 자체 개발했다.","","안정","물류사 정산 시스템 공급, 흑자 전환 완료","4","4","4","3","물류|정산|핀테크|백엔드|Java"
"haeundaeaihealthcare","해운대AI헬스케어","부산 해운대구","헬스테크","ML 엔지니어|백엔드 개발자|신입 개발자","정규직","Python|PyTorch|FastAPI","자율 출퇴근|건강검진 지원|최신 장비 지원","해운대AI헬스케어는 의료 영상을 분석하는 AI 진단 솔루션을 개발하는 헬스테크 스타트업이다. 임상 협력 병원을 늘려가는 중이다.","","성장 중","의료 영상 AI 진단 솔루션 개발, 임상 협력 병원 확대 중","5","2","4","3","헬스테크|AI|의료영상|Python"
"yeonjegovdata","연제공공데이터센터","부산 연제구","공공IT","백엔드 개발자|데이터 엔지니어","정규직","Java|Spring|Oracle","정시 퇴근|공공기관 협업 경험|자격증 취득 지원","연제공공데이터센터는 부산시 공공데이터 개방 플랫폼을 운영하는 공공IT 기업이다. 워라밸이 뛰어난 편이다.","","매우 안정","부산시 공공데이터 개방 플랫폼 운영, 다년 계약","2","5","3","5","공공데이터|백엔드|Java|공공IT"
"namshipfintech","남구쉽핀테크","부산 남구","핀테크·물류","백엔드 개발자|신입 개발자","정규직","Java|Spring|블록체인|API 설계","자기계발비 지원|재택 근무 병행|식대 지원","남구쉽핀테크는 해상 운임을 블록체인 기반으로 정산하는 핀테크 스타트업이다. 부산항 물류사들과 협력해 빠르게 성장하고 있다.","","성장 중","해상 운임 정산 핀테크 서비스, 시리즈 A 투자 유치","5","3","4","3","핀테크|해운|정산|블록체인|백엔드"
"gangseosmartfarm","강서스마트팜","부산 강서구","스마트팜","IoT 개발자|백엔드 개발자","정규직","C|임베디드리눅스|MQTT","기숙사 지원|통근버스|명절 상여금","강서스마트팜은 지역 농가에 온습도·양액 자동제어 IoT 솔루션을 공급하는 스마트팜 기업이다.","","안정","지역 농가 대상 스마트팜 솔루션 공급, 지자체 지원사업 참여","3","3","3","3","스마트팜|IoT|임베디드"
"jinguwebtoon","전포웹툰스튜디오","부산 진구","콘텐츠·미디어","프론트엔드 개발자|백엔드 개발자","정규직","React|Node.js|AWS","자유복장|자율 출퇴근|콘텐츠 창작 지원비","전포웹툰스튜디오는 자체 웹툰 플랫폼을 운영하는 콘텐츠 기업이다. 프론트엔드·백엔드 개발자를 채용 중이다.","","성장 중","웹툰 플랫폼 운영, MAU 지속 성장","4","2","3","3","콘텐츠|웹툰|React|미디어"
